file,case,title
"200011/臺灣苗栗地方法院刑事/MLDM,89,訴,335,20001130.json",訴,違反廢棄物清理法
"200011/臺灣苗栗地方法院刑事/MLDM,89,訴,82,20001130.json",訴,違反廢棄物清理法
"200011/臺灣高等法院臺南分院刑事/TNHM,89,上訴,1607,20001109,1.json",上訴,違反廢棄物清理法
"200011/臺灣高等法院臺南分院刑事/TNHM,89,上訴,1612,20001101,1.json",上訴,違反廢棄物清理法
"200011/臺灣高等法院臺南分院刑事/TNHM,89,上訴,1654,20001102,1.json",上訴,違反廢棄物清理法
"200011/臺灣高雄地方法院刑事/KSDM,89,訴,1569,20001123.json",訴,違反廢棄物清理法
"200011/臺灣高雄地方法院刑事/KSDM,89,訴,1966,20001128.json",訴,違反廢棄物清理法
"200012/臺灣基隆地方法院刑事/KLDM,89,訴,542,20001208.json",訴,違反廢棄物清理法
"200012/臺灣基隆地方法院刑事/KLDM,89,訴,585,20001221,1.json",訴,違反廢棄物清理法
"200012/臺灣基隆地方法院刑事/KLDM,89,訴,586,20001212.json",訴,違反廢棄物清理法
"200012/臺灣基隆地方法院刑事/KLDM,89,訴,743,20001221,1.json",訴,違反廢棄物清理法
"200012/臺灣屏東地方法院刑事/PTDM,89,訴,552,20001208.json",訴,違反廢棄物清理法
"200012/臺灣新竹地方法院刑事/SCDM,89,訴,618,20001221.json",訴,違反廢棄物清理法
"200012/臺灣新竹地方法院刑事/SCDM,89,訴,94,20001201.json",訴,違反廢棄物清理法
"200012/臺灣桃園地方法院刑事/TYDM,89,訴,1034,20001213.json",訴,違反廢棄物清理法
"200012/臺灣桃園地方法院刑事/TYDM,89,訴,1193,20001220.json",訴,違反廢棄物清理法
"200012/臺灣桃園地方法院刑事/TYDM,89,訴,1459,20001204.json",訴,違反廢棄物清理法
"200012/臺灣桃園地方法院刑事/TYDM,89,訴,1531,20001206.json",訴,違反廢棄物清理法
"200012/臺灣桃園地方法院刑事/TYDM,89,訴,879,20001226.json",訴,違反廢棄物清理法等
"200012/臺灣桃園地方法院刑事/TYDM,89,訴,923,20001220.json",訴,違反廢棄物清理法等
"200012/臺灣臺北地方法院刑事/TPDM,89,訴,1529,20001228,1.json",訴,違反廢棄物清理法
"200012/臺灣苗栗地方法院刑事/MLDM,89,苗簡,727,20001219,1.json",苗簡,違反廢棄物清理法
"200012/臺灣苗栗地方法院刑事/MLDM,89,訴,377,20001218.json",訴,違反廢棄物清理法
"200012/臺灣高等法院高雄分院刑事/KSHM,90,上訴,119,20001215,1.json",上訴,違反廢棄物清理法
"200012/臺灣高雄地方法院刑事/KSDM,89,訴,1260,20001215.json",訴,違反廢棄物清理法
"200012/臺灣高雄地方法院刑事/KSDM,89,訴,2152,20001221.json",訴,違反廢棄物清理法
"200012/臺灣高雄地方法院刑事/KSDM,89,訴,2737,20001230,1.json",訴,違反廢棄物清理法
"200012/臺灣高雄地方法院刑事/KSDM,89,訴,2788,20001226.json",訴,違反廢棄物清理法
